id,waktu,hari,jumlah_kendaraan_asli,kendaraan_norm,waktu_tunggu,kondisi_cuaca
151,17:00,Sabtu,1856,37,45,Cerah
152,17:30,Sabtu,1734,35,42,Berawan
153,18:00,Sabtu,1512,30,36,Berawan
154,18:30,Sabtu,1234,25,30,Cerah
155,19:00,Sabtu,934,19,22,Cerah
156,07:00,Minggu,912,18,21,Cerah
157,07:30,Minggu,1034,21,24,Cerah
158,08:00,Minggu,1189,24,28,Berawan
159,08:30,Minggu,1312,26,31,Berawan
160,09:00,Minggu,1467,29,35,Cerah
161,09:30,Minggu,1623,32,38,Cerah
162,10:00,Minggu,1778,36,43,Cerah
163,10:30,Minggu,1912,38,46,Berawan
164,11:00,Minggu,2034,41,49,Berawan
165,11:30,Minggu,1923,38,46,Cerah
166,12:00,Minggu,1812,36,44,Cerah
167,12:30,Minggu,1678,34,40,Hujan
168,13:00,Minggu,1534,31,37,Hujan
169,13:30,Minggu,1389,28,33,Cerah
170,14:00,Minggu,1245,25,29,Cerah
171,14:30,Minggu,1134,23,27,Cerah
172,15:00,Minggu,1267,25,30,Berawan
173,15:30,Minggu,1412,28,34,Berawan
174,16:00,Minggu,1567,31,37,Cerah
175,16:30,Minggu,1712,34,41,Cerah
176,17:00,Minggu,1823,36,44,Cerah
177,17:30,Minggu,1712,34,41,Berawan
178,18:00,Minggu,1456,29,35,Berawan
179,18:30,Minggu,1123,22,27,Cerah
180,19:00,Minggu,823,16,20,Cerah
